52;52;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 22;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 22;561 km;6 hr 15 min
53;53;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyskowice;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Pyskowice;557 km;6 hr 15 min
54;54;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puck;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Puck;30.7 km;46 min
55;55;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Łódź 1;355 km;3 hr 46 min
56;56;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 6;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gdańsk 6;17.8 km;33 min
57;57;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 2;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gliwice 2;562 km;6 hr 11 min
58;58;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Zabrze S101;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);PP Zabrze S101;547 km;6 hr 7 min
59;59;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnowskie Góry 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Tarnowskie Góry 1;528 km;6 hr 4 min
60;60;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Częstochowa 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Częstochowa 1;470 km;5 hr 27 min
61;61;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kutno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kutno 1;293 km;2 hr 58 min
62;62;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 4;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Warszawa 4;448 km;4 hr 56 min
63;63;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 16;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Toruń 16;189 km;1 hr 53 min
64;64;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 28;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Kraków 28;627 km;7 hr 11 min
65;65;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mogilno 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Mogilno 1;271 km;3 hr 8 min
66;66;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grodzisk Mazowiecki 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Grodzisk Mazowiecki 1;417 km;4 hr 11 min
67;67;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostyń Poznański 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Gostyń Poznański 1;376 km;5 hr 1 min
68;68;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zawiercie 1;UP Gdynia 2 (Plac Konstytucji 2, 81-320 Gdynia);UP Zawiercie 1;546 km;6 hr 13 min
