,Address,Coordinates
201,FUP Kraków 1,"(50.0469432, 19.997153435836697)"
202,UP Jerzmanowice,"(50.2127644, 19.7482605)"
203,UP Ostrów Wielkopolski 2,"(50.7335748, 18.761079)"
204,AP Wieliczka,"(49.9823773, 20.0602114)"
205,UP Kraków 4,"(50.0469432, 19.997153435836697)"
206,FUP Kraków 38,"(50.0469432, 19.997153435836697)"
207,FUP Piotrków Trybunalski 1,"(50.7172566, 16.8821979)"
208,UP Kraków 50,"(50.0469432, 19.997153435836697)"
209,AP Węgrzce Wielkie,"(51.4801582, 16.5768398)"
210,UP Częstochowa 1,"(50.8120466, 19.113213)"
211,UP Kraków 65,"(50.0469432, 19.997153435836697)"
212,FUP Kraków 55,"(50.0469432, 19.997153435836697)"
213,UP Maków Mazowiecki,"(52.862054400000005, 21.092352427336465)"
214,UP Krościenko nad Dunajcem,"(49.4783429, 22.6682494)"
215,FUP Kraków 23,"(50.0469432, 19.997153435836697)"
216,UP Kraków 1,"(50.0469432, 19.997153435836697)"
217,UP Tuchola 1,"(53.5880901, 17.8590414)"
218,UP Chojnice 1,"(53.6999165, 17.570344138115953)"
219,UP Stargard 2,"(53.30897745, 15.031645934671849)"
220,UP Słupsk 2,"(54.460570849999996, 17.027730037017736)"
221,UP Czarne k. Szczecinka 1,"(53.68353, 16.94221)"
222,UP Dęblin 1,"(51.567231750000005, 21.856244041776023)"
223,PP Warszawa W101,"(52.2319581, 21.0067249)"
224,UP Człuchów 1,"(53.6634472, 17.358074774000176)"
225,UP Czersk,"(53.796196, 17.9756228)"
226,UP Jastrzębie-Zdrój,"(49.96067945, 18.599367592200732)"
227,PP Gdańsk G102,"(54.36143405, 18.62821847557274)"
228,UP Warszawa 14,"(52.2319581, 21.0067249)"
229,UP Katowice 25,"(50.2137321, 19.00588775660632)"
230,UP Głogów 2,"(51.67019285, 16.06140366346836)"
231,UP Kołobrzeg 1,"(54.176211550000005, 15.57640369780165)"
232,UP Rybnik 8,"(50.0955793, 18.5419933)"
233,UP Tarnowo Podgórne 3,"(52.99211, 14.82033)"
234,UP Bartoszyce 1,"(54.2534341, 20.80839323665569)"
235,PP Bydgoszcz C102,"(53.12974625, 18.029369658534854)"
236,UP Sosnowiec 19,"(50.271229500000004, 19.215561953947084)"
237,UP Elbląg 2,"(54.1988997, 19.44108568736702)"
238,UP Malbork 1,"(54.0287383, 19.039396385383558)"
239,UP Brusy,"(53.8861557, 17.7190437)"
240,UP Złocieniec 1,"(53.5310697, 16.0120665)"
241,UP Warszawa 22,"(52.2319581, 21.0067249)"
242,UP Warszawa 12,"(52.2319581, 21.0067249)"
243,UP Kwidzyn 1,"(53.7204653, 18.937464130662192)"
244,UP Tczew 1,"(54.09087615, 18.77794352885673)"
245,UP Gdańsk 9,"(54.36143405, 18.62821847557274)"
246,UP Kolno,"(53.401686749999996, 21.936077723604825)"
247,UP Bielsko-Biała 1,"(49.81207845, 19.029198802013944)"
248,AP Kicin,"(52.46491, 17.01965)"
249,FUP Warszawa 65,"(52.2319581, 21.0067249)"
250,UP Gdańsk 53,"(54.36143405, 18.62821847557274)"
251,FUP Gdańsk 50,"(54.36143405, 18.62821847557274)"
252,UP Chorzów 6,"(50.288556299999996, 18.97044253093511)"
253,PP Lublin L101,"(51.218194499999996, 22.554677565192677)"
254,UP Gdańsk 6,"(54.36143405, 18.62821847557274)"
255,UP Gdańsk 48,"(54.36143405, 18.62821847557274)"
256,UP Nakło nad Notecią 1,"(50.4370002, 18.9059878)"
257,FUP Chojnice 1,"(53.6999165, 17.570344138115953)"
258,FUP Czersk,"(53.796196, 17.9756228)"
259,UP Warszawa 42,"(52.2319581, 21.0067249)"
260,UP Bytów 1,"(54.168855, 17.4922953)"
261,UP Iława 2,"(53.59610885, 19.576102569072468)"
262,UP Puławy 1,"(51.4262598, 21.985301401055878)"
263,UP Gdańsk 16,"(54.36143405, 18.62821847557274)"
264,UP Ślesin k. Konina,"(52.37082, 18.30593)"
265,UP Pruszcz Gdański 1,"(54.25785495, 18.65011494396544)"
266,UP Skórcz,"(53.794545400000004, 18.517478496389238)"
267,UP Gliwice 2,"(50.30113145, 18.662347227971978)"
268,UP Śliwice,"(51.1286114, 17.21408)"
269,UP Lublin 2,"(51.218194499999996, 22.554677565192677)"
270,UP Mielec 1,"(50.280247349999996, 21.46313425491699)"
271,UP Świnoujście 1,"(53.9097477, 14.2510703)"
272,UP Łódź 58,"(51.7687323, 19.4569911)"
273,UP Wrocław 15,"(51.1263106, 16.97819633051261)"
274,UP Sieradz 2,"(51.6017529, 18.739901469268844)"
275,UP Kutno 1,"(52.2220021, 19.387595057455435)"
276,UP Kraków 28,"(50.0469432, 19.997153435836697)"
277,UP Sępólno Krajeńskie,"(52.3736542, 16.0251399)"
278,UP Świecie nad Wisłą 1,"(53.4072518, 18.4455253)"
279,UP Toruń 3,"(53.0145361, 18.596583144651557)"
280,UP Czarna Woda,"(51.3938508, 18.6338405)"
281,UP Warlubie,"(53.5876369, 18.6274848)"
282,UP Dziemiany,"(54.0060686, 17.7691413)"
283,UP Dobrcz,"(53.265326, 18.1463757)"
284,FUP Złotów,"(53.3591987, 17.043815994517477)"
285,UP Toruń 2,"(53.0145361, 18.596583144651557)"
286,UP Warszawa 118,"(52.2319581, 21.0067249)"
287,UP Wyrzysk,"(53.1569822, 17.2627004)"
288,UP Osie,"(53.5983538, 18.3475463)"
289,UP Warszawa 130,"(52.2319581, 21.0067249)"
290,UP Łęczyce,"(54.5929285, 17.8601132)"
291,FUP Gdynia 10,"(54.50383255, 18.462806155884614)"
292,FUP Gdańsk 4,"(54.36143405, 18.62821847557274)"
293,UP Gdańsk 20,"(54.36143405, 18.62821847557274)"
294,UP Władysławowo,"(54.7796139, 18.4137851)"
295,UP Gdańsk 4,"(54.36143405, 18.62821847557274)"
296,FUP Gdańsk 44,"(54.36143405, 18.62821847557274)"
297,UP Gdańsk 5,"(54.36143405, 18.62821847557274)"
298,FUP Gdańsk 6,"(54.36143405, 18.62821847557274)"
299,UP Gdańsk 7,"(54.36143405, 18.62821847557274)"
300,UP Gdańsk 1,"(54.36143405, 18.62821847557274)"
301,UP Łódź 17,"(51.7687323, 19.4569911)"
302,UP Kolbudy,"(54.2704958, 18.4683858)"
303,AP Gdańsk,"(54.36143405, 18.62821847557274)"
304,AP Dzierżążno,"(54.3204428, 18.2647845)"
305,FUP Gdańsk 5,"(54.36143405, 18.62821847557274)"
306,FUP Gdańsk 42,"(54.36143405, 18.62821847557274)"
